,antenna_id,x_antenna,y_antenna,z_antenna,amplitude_x,amplitude_y,amplitude_z,phase(deg),volatge_x,volatge_y,volatge_z
0,0,50.0,50.0,0.0,(-2.1165720143021557e-07+0j),(-7.470309391949516e-08+0j),(-7.367918962020323e-09+0j),4.774896385337435,-8.042973654348191e-07,-2.838717568940816e-07,-0.0
1,1,50.0,100.0,0.0,(-2.1156304569448904e-07+0j),(-7.442964759416492e-08+0j),(-7.355259773665053e-09+0j),4.774837476177469,-8.039395736390583e-07,-2.828326608578267e-07,-0.0
2,2,109.0,50.0,0.0,(-2.1149924871843326e-07+0j),(-7.446148964514633e-08+0j),(-7.383632127631047e-09+0j),4.7749318694827725,-8.036971451300464e-07,-2.82953660651556e-07,-0.0
